SRA experiment	BioSample
SRX265432	SAMN02045869
SRX4096848	SAMN09221744
SRX2020842	SAMN05572266
SRX818559	SAMN03269213
SRX818563	SAMN03269220
SRX818567	SAMN03269222
SRX818555	SAMN03269209
SRX038562	SAMN00191100
SRX037110	SAMN00189402
SRX10775079	SAMN19014165
SRX20022378	SAMN34265171
SRX1065299	SAMN03782261
DRX181719	SAMD00185647
SRX11411286	SAMN20170231
ERX311379	SAMEA2177955
SRX10335219	SAMN18290287
ERX210205	SAMEA1713771
SRX7023028	SAMN13058992
SRX8080375	SAMN14556303
SRX14047764	SAMN25656902
SRX019931	SAMN00012298
SRX10772658	SAMN19014418
ERX016232	SAMEA1032058
SRX2935864	SAMN07258410
SRX11005597	SAMN19367878
SRX6957866	SAMN12982848
SRX11360014	SAMN20079456
SRX2000339	SAMN05511700
DRX013205	SAMD00013157
SRX042342	SAMN00210996
SRX3554400	SAMN08354853
SRX2020838	SAMN05572270
SRX647704	SAMN02904725
ERX309839	SAMEA2177590
SRX1998003	SAMN05509543
SRX10666379	SAMN18849500
DRX277866	SAMD00316432
ERX3400789	SAMEA5716639
SRX1426076	SAMN04254388
SRX8537730	SAMN15223378
SRX1136706	SAMN03979955
SRX1136710	SAMN03979964
SRX128102	SAMN00809357
SRX8616983	SAMN15368977
SRX1131555	SAMN03952691
SRX10654367	SAMN18823534
SRX1035331	SAMN03703687
SRX265422	SAMN02045859
SRX2194286	SAMN05832044
ERX1055967	SAMEA3501445
ERX008580	SAMEA740807
SRX3285572	SAMN07786161
SRX1998022	SAMN05509709
SRX5757567	SAMN11514700
ERX008568	SAMEA740754
SRX1117696	SAMN03922722
SRX13830809	SAMN25119917
SRX4734146	SAMN10118764
SRX069098	SAMN00622223
SRX10475049	SAMN18514224
ERX1604054	SAMEA4079230
SRX10661237	SAMN10987097
SRX5706753	SAMN11053078
SRX11515977	SAMN20343351
SRX285598	SAMN02152540
SRX8740181	SAMN15545072
SRX4037350	SAMN03078508
SRX7079160	SAMN13168656
SRX12287176	SAMN21523874
SRX271441	SAMN02055560
SRX10474968	SAMN18513324
SRX503335	SAMN02711799
ERX4030416	SAMEA6786242
SRX11023643	SAMN19431973
SRX10157976	SAMN18040563
SRX14130727	SAMN25846518
SRX7814869	SAMN14237561
SRX2671787	SAMN06642879
SRX2675792	SAMN06645350
SRX13273913	SAMN23551603
DRX021452	SAMD00020294
SRX3411537	SAMN08046695
SRX10475533	SAMN18513009
DRX014588	SAMD00008993
SRX3994927	SAMN08982083
SRX9684576	SAMN17078881
SRX16829021	SAMN30128314
DRX014674	SAMD00009009
SRX8564038	SAMN15295662
SRX10475206	SAMN18513051
SRX2884518	SAMN07195265
SRX026917	SAMN00113445
SRX11242576	SAMN19915280
DRX014562	SAMD00008991
DRX114638	SAMD00020293
SRX069102	SAMN00622227
SRX201260	SAMN01780199
SRX201278	SAMN01780217
SRX1235301	SAMN04075626
SRX069133	SAMN00622258
SRX069087	SAMN00622212
SRX069097	SAMN00622222
SRX099628	SAMN00736136
SRX10476666	SAMN18514167
SRX10187473	SAMN18053351
ERX2676945	SAMEA4753709
DRX014657	SAMD00009001
DRX014578	SAMD00008994
SRX069148	SAMN00622273
DRX014608	SAMD00008997
SRX9724132	SAMN17147397
SRX2343922	SAMN06013828
ERX4030418	SAMEA6786244
SRX9791182	SAMN17225412
SRX10475755	SAMN05897106
SRX12905226	SAMN22841664
SRX10476498	SAMN18513004
SRX244127	SAMN01924255
SRX5353607	SAMN10905015
SRX10341645	SAMN18311247
SRX5706715	SAMN11053097
SRX10478448	SAMN18513977
DRX114662	SAMD00107113
SRX14659713	SAMN26853192
DRX048535	SAMD00045828
DRX114707	SAMD00107125
SRX16829024	SAMN30128311
SRX10187494	SAMN12641506
DRX014711	SAMD00009005
SRX8291415	SAMN14854029
SRX4306019	SAMN09489789
SRX1548204	SAMN04442408
SRX1444520	SAMN04285750
SRX6800737	SAMN12691863
SRX6704551	SAMN12563023
ERX2560120	SAMEA4625051
SRX212301	SAMN01840355
SRX1367371	SAMN04198568
SRX026263	SAMN00109934
SRX2734067	SAMN06712132
SRX6060996	SAMN12046860
SRX9613112	SAMN16969390
SRX10001302	SAMN17734312
SRX077858	SAMN00627829
SRX5055009	SAMN10442472
SRX5913660	SAMN11877743
SRX1272807	SAMN04100878
SRX1801654	SAMN05179548
SRX040391	SAMN00204031
ERX2690378	SAMEA4766519
SRX10375571	SAMN18350764
SRX10442192	SAMN18489535
SRX11758129	SAMN20793195
SRX3734328	SAMN08581066
SRX1568592	SAMN04481911
SRX886369	SAMN03366668
SRX10920334	SAMN19241712
SRX10037233	SAMN17812063
SRX14438534	SAMN26582614
SRX16120019	SAMN29635210
SRX10187529	SAMN13691206
SRX332736	SAMN02313886
SRX11070610	SAMN19572960
SRX445241	SAMN02439311
DRX239216	SAMD00251177
SRX10037234	SAMN17812062
SRX3868791	SAMN08824584
SRX1286294	SAMN04110985
ERX3721045	SAMEA6373152
SRX878129	SAMN03159557
SRX1431699	SAMN04267210
DRX326299	SAMD00436949
SRX124687	SAMN00794435
SRX6802691	SAMN12696021
SRX610766	SAMN02866362
SRX5880862	SAMN11811698
DRX013175	SAMD00013181
SRX4161612	SAMN09345338
SRX8473459	SAMN15104929
SRX1064322	SAMN03781498
SRX12378627	SAMN21860513
ERX5359069	SAMEA8492263
ERX3596780	SAMEA6087988
SRX9292689	SAMN16243167
SRX20623991	SAMN35661487
ERX4997035	SAMEA7872037
SRX20623992	SAMN35661486
SRX10407083	SAMN18418923
SRX8181982	SAMN14738799
SRX2683514	SAMN06651239
SRX134731	SAMN00847535
SRX10475783	SAMN18514236
SRX5846246	SAMN10992117
SRX10187508	SAMN13691268
SRX10187479	SAMN13161459
SRX2370590	SAMN06044554
SRX6060979	SAMN12046892
SRX1474514	SAMN04330311
SRX474007	SAMN02646654
SRX8109065	SAMN14574373
SRX2683522	SAMN06651229
SRX7974648	SAMN14430450
SRX1054536	SAMN03766263
SRX474006	SAMN02646652
SRX474005	SAMN02646653
SRX136946	SAMN00849927
SRX12287185	SAMN21523883
SRX10187562	SAMN13691269
SRX2628141	SAMN06554867
SRX9613121	SAMN16969426
SRX6060998	SAMN12046925
SRX2628135	SAMN06554873
SRX2628127	SAMN06554880
SRX2628137	SAMN06554869
SRX023215	SAMN00016958
SRX2628133	SAMN06554874
SRX2628125	SAMN06554882
SRX10606575	SAMN18747549
SRX11453847	SAMN20240308
SRX2254522	SAMN05930247
SRX8939702	SAMN15808889
SRX10001303	SAMN17734311
SRX10475273	SAMN18513632
SRX863778	SAMN03325308
DRX021118	SAMD00020001
SRX10001305	SAMN17734309
SRX13439155	SAMN24060710
SRX13439156	SAMN24060711
SRX13439157	SAMN24060712
SRX13439158	SAMN24060713
SRX14557636	SAMN26856219
SRX069125	SAMN00622250
SRX8473458	SAMN15104930
SRX1474439	SAMN04330376
SRX10828251	SAMN19092609
SRX2518694	SAMN06273484
SRX9613087	SAMN16969374
SRX2518692	SAMN06273478
SRX4905627	SAMN10258626
SRX12578555	SAMN22227002
SRX10001306	SAMN17734308
SRX8037078	SAMN14506548
SRX371983	SAMN02389602
SRX1892842	SAMN05346313
SRX12287224	SAMN21523913
SRX1474460	SAMN04330328
SRX4161608	SAMN09345344
